track_id,genre_track,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
38KNrcPnu3nWKvG006Vg1o,kpop,99428.0,False,0.812,0.0792,0.0,-16.795,0.0,0.0585,0.856,0.933,0.0744,0.364,139.991,4.0
4AUWSCrXfOj6HDjlnrG8EU,kpop,163613.0,False,0.439,0.938,9.0,-5.372,0.0,0.182,0.133,3.65e-05,0.0904,0.556,119.462,4.0
1qViOnAynzd6WUaLBPtUEG,kpop,102493.0,False,0.554,0.439,7.0,-12.435,0.0,0.0384,0.888,0.833,0.0796,0.469,180.247,3.0
0FMt0aNvGLVT5i5JtDlLWC,kpop,50166.0,False,0.54,0.516,9.0,-8.164,0.0,0.0629,0.597,0.981,0.128,0.855,133.963,4.0
5CisUC4TUiKGo0FETfOxma,kpop,237165.0,False,0.72,0.984,0.0,-3.778,1.0,0.0454,0.00659,0.00257,0.335,0.943,139.981,4.0
2SeU1ljmFinQt1mKWPts2y,kpop,206837.0,True,0.817,0.547,4.0,-7.92,0.0,0.138,0.103,0.0,0.113,0.304,130.111,4.0
0qtSIN4MlN2d27sHtTNT65,kpop,45783.0,False,0.628,0.464,7.0,-14.192,0.0,0.0435,0.592,0.971,0.156,0.636,134.832,4.0
13rUoHCsjiHiGDZ8d8YAsZ,kpop,176349.0,False,0.882,0.618,1.0,-5.132,1.0,0.0514,0.103,1.76e-05,0.31,0.306,111.055,4.0
0sNETBYOOyCmJXRJuQ0bWJ,kpop,192562.0,False,0.619,0.958,1.0,-5.075,1.0,0.072,0.00479,0.0607,0.339,0.121,122.001,4.0
5E7Fmk3uUKXaOrGqWGgGdI,kpop,243666.0,False,0.834,0.698,5.0,-5.668,0.0,0.0713,0.15,9.44e-06,0.179,0.739,103.105,4.0
15wtLqF2M6vOu6isoS00hm,kpop,43467.0,False,0.695,0.565,1.0,-10.621,1.0,0.033,0.0385,0.0,0.25,0.933,138.037,4.0
3NGqAMhYpoqF1tg0Bm8Ozm,kpop,158215.0,False,0.618,0.785,9.0,-5.51,1.0,0.0308,0.0582,0.0,0.0847,0.623,109.951,4.0
7FLHZtNqn4PfSs6DwtWdY3,kpop,194235.0,False,0.711,0.91,1.0,-1.204,1.0,0.0467,0.568,0.0,0.157,0.556,130.146,4.0
6fxcVgWOjLLdjIucAzlS1u,kpop,145000.0,True,0.65,0.732,6.0,-7.754,0.0,0.226,0.498,0.0,0.0557,0.886,95.928,4.0
614hSkDjIVeSgGYkHDuhj3,kpop,223822.0,False,0.6,0.764,0.0,-3.3,1.0,0.326,0.201,0.0,0.0651,0.654,91.01,4.0
5ZIMxZ9BP8Rj1hLEsHxpzb,kpop,215913.0,False,0.876,0.789,11.0,-4.915,0.0,0.0677,0.0978,0.0,0.0841,0.671,127.033,4.0
0HACx8En9mof6oLJTpa0Hp,kpop,47136.0,False,0.69,0.503,9.0,-12.268,1.0,0.029,0.0117,0.778,0.592,0.933,111.986,4.0
39CXNHBboPyWA0FYqLJMD2,kpop,217782.0,False,0.726,0.759,8.0,-3.327,1.0,0.179,0.0496,0.0,0.0771,0.617,88.988,4.0
2uDyq0S9HgB5VLdQv8jMCM,kpop,169384.0,False,0.468,0.0809,9.0,-18.773,0.0,0.051,0.991,0.955,0.108,0.165,72.484,4.0
2LZpYnNrlqeuUrkoYCmUAg,kpop,106674.0,False,0.635,0.826,11.0,-1.24,1.0,0.293,0.0493,0.000402,0.112,0.827,174.048,4.0
3jSL4wUx9wQF8e0JVdzUAU,kpop,205668.0,False,0.752,0.465,8.0,-13.043,1.0,0.0566,0.000118,0.826,0.122,0.373,125.026,4.0
4TvpN52tawjwsilh1WA6jf,kpop,135601.0,True,0.651,0.777,5.0,-6.138,0.0,0.219,0.0478,0.0,0.0762,0.74,85.004,4.0
127eX4wsdCOoM0Q6Frer8R,kpop,199546.0,False,0.649,0.786,8.0,-6.212,1.0,0.044,0.13,0.0,0.15,0.837,98.988,4.0
2brgW2rPRbY5Zn0aU2USgc,kpop,160874.0,True,0.709,0.747,10.0,-4.705,0.0,0.347,0.0172,2.06e-05,0.131,0.573,140.024,4.0
49BWZe69ZGrQ5tcFD2OT1t,kpop,226605.0,False,0.398,0.618,0.0,-2.577,1.0,0.0273,0.161,0.0417,0.28,0.458,144.266,4.0
6Tgt6kc2iU5QCF2O0w82u8,kpop,200805.0,True,0.764,0.573,11.0,-7.83,0.0,0.253,0.191,2.9e-05,0.102,0.301,149.998,4.0
